比容量(mAh/g)	电压(V)	
217.49	1.6441	
217.67	1.6440	
217.86	1.6457	
218.04	1.6459	
218.22	1.6462	
218.41	1.6466	
218.59	1.6463	
218.77	1.6465	
218.96	1.6462	
219.14	1.6462	
219.32	1.6455	
219.51	1.6453	
219.69	1.6456	
219.87	1.6443	
220.06	1.6437	
220.24	1.6441	
220.42	1.6439	
220.61	1.6437	
220.79	1.6458	
220.97	1.6444	
221.16	1.6465	
221.34	1.6482	
221.52	1.6477	
221.70	1.6467	
221.89	1.4024	
222.07	1.3095	
222.25	1.3231	
222.44	1.3682	
222.62	1.4180	
222.80	1.4535	
222.99	1.4806	
223.17	1.5141	
223.35	1.5446	
223.54	1.5657	
223.72	1.5823	
223.90	1.5945	
224.09	1.6035	
224.27	1.6113	
224.45	1.6166	
224.64	1.6213	
224.82	1.6239	
225.00	1.6249	
225.19	1.6276	
225.37	1.6305	
225.55	1.6341	
225.74	1.6339	
225.92	1.6347	
226.10	1.6343	
226.29	1.6370	
226.47	1.6378	
226.65	1.6394	
226.84	1.6400	
227.02	1.6403	
227.20	1.6411	
227.38	1.6405	
227.57	1.6394	
227.75	1.6384	
227.93	1.6382	
228.12	1.6361	
228.30	1.6362	
228.48	1.6367	
228.67	1.6364	
228.85	1.6377	
229.03	1.6394	
229.22	1.6410	
229.40	1.6410	
229.58	1.6415	
229.77	1.6405	
229.95	1.6399	
230.13	1.6410	
230.32	1.6413	
230.50	1.6407	
230.68	1.6417	
230.87	1.6436	
231.05	1.6454	
231.23	1.6464	
231.42	1.6450	
231.60	1.6408	
231.78	1.3317	
231.97	1.2994	
232.15	1.3298	
232.33	1.3836	
232.52	1.4301	
232.70	1.4613	
232.88	1.4890	
233.06	1.5227	
233.25	1.5514	
233.43	1.5730	
233.61	1.5875	
233.80	1.5992	
233.98	1.6075	
234.16	1.6125	
234.35	1.6155	
234.53	1.6184	
234.71	1.6211	
234.90	1.6224	
235.08	1.6241	
235.26	1.6281	
235.45	1.6327	
235.63	1.6349	
235.81	1.6351	
236.00	1.6346	
236.18	1.6339	
236.36	1.6345	
236.55	1.6341	
236.73	1.6337	
236.91	1.6339	
237.10	1.6329	
237.28	1.6371	
237.46	1.6393	
237.65	1.6395	
237.83	1.6385	
238.01	1.6382	
238.20	1.6390	
238.38	1.6383	
238.56	1.6380	
238.74	1.6381	
238.93	1.6378	
239.11	1.6377	
239.29	1.6379	
239.48	1.6382	
239.66	1.6374	
239.84	1.6380	
240.03	1.6378	
240.21	1.6393	
240.39	1.6405	
240.58	1.6436	
240.76	1.6441	
240.94	1.6450	
241.13	1.6459	
241.31	1.6495	
241.49	1.6474	
241.68	1.3549	
241.86	1.3074	
242.04	1.3304	
242.23	1.3702	
242.41	1.4124	
242.59	1.4492	
242.78	1.4767	
242.96	1.5086	
243.14	1.5385	
243.33	1.5615	
243.51	1.5794	
243.69	1.5897	
243.88	1.5984	
244.06	1.6052	
244.24	1.6126	
244.43	1.6168	
244.61	1.6202	
244.79	1.6228	
244.97	1.6238	
245.16	1.6257	
245.34	1.6272	
245.52	1.6281	
245.71	1.6294	
245.89	1.6310	
246.07	1.6329	
246.26	1.6337	
246.44	1.6357	
246.62	1.6366	
246.81	1.6375	
246.99	1.6398	
247.17	1.6402	
247.36	1.6413	
247.54	1.6425	
247.72	1.6442	
247.91	1.6442	
248.09	1.6428	
248.27	1.6427	
248.46	1.6417	
248.64	1.6402	
248.82	1.6405	
249.01	1.6410	
249.19	1.6402	
249.37	1.6405	
249.56	1.6400	
249.74	1.6415	
249.92	1.6420	
250.11	1.6414	
250.29	1.6396	
250.47	1.6397	
250.65	1.6400	
250.84	1.6407	
251.02	1.3621	
251.20	1.3102	
251.39	1.3289	
251.57	1.3702	
251.75	1.4182	
251.94	1.4548	
252.12	1.4870	
252.30	1.5232	
252.49	1.5544	
252.67	1.5729	
252.85	1.5870	
253.04	1.5971	
253.22	1.6046	
253.40	1.6112	
253.59	1.6174	
253.77	1.6205	
253.95	1.6233	
254.14	1.6241	
254.32	1.6258	
